year,regcode,region,ip_reg,ip_liq,ip_reg_liq_diff,ul_reg,ul_liq,ul_reg_liq_diff
2013,62,Рязанская область,2837,6411,44.25,2566,2468,103.97
2014,62,Рязанская область,3694,3308,111.67,2698,1941,139.0
2015,62,Рязанская область,3847,3622,106.21,2954,2720,108.6
2016,62,Рязанская область,4322,4043,106.9,2932,2210,132.67
2017,62,Рязанская область,5088,4183,121.64,2357,5772,40.84
2018,62,Рязанская область,6350,4597,138.13,1696,3684,46.04
2019,62,Рязанская область,5923,5343,110.86,1534,3226,47.55
2012,63,Самарская область,9934,13986,71.03,10856,11015,98.56
2013,63,Самарская область,8043,17292,46.51,11874,7972,148.95
2014,63,Самарская область,10388,9517,109.15,11892,9272,128.26
2015,63,Самарская область,12679,10852,116.84,12789,8869,144.2
2016,63,Самарская область,14063,11712,120.07,11627,16651,69.83
2017,63,Самарская область,17228,13932,123.66,10789,15754,68.48
2018,63,Самарская область,20758,15428,134.55,10703,12213,87.64
2019,63,Самарская область,18887,17110,110.39,9638,17413,55.35
2012,64,Саратовская область,7843,11566,67.81,3981,6064,65.65
2013,64,Саратовская область,6114,15979,38.26,4131,3531,116.99
2014,64,Саратовская область,7552,7514,100.51,3915,3717,105.33
2015,64,Саратовская область,7486,7699,97.23,3859,2769,139.36
2016,64,Саратовская область,8431,8195,102.88,3373,5274,63.96
2017,64,Саратовская область,8953,8795,101.8,3165,5540,57.13
2018,64,Саратовская область,10601,9136,116.04,2941,4324,68.02
2019,64,Саратовская область,10145,9168,110.66,2645,4803,55.07
2012,65,Сахалинская область,2510,3051,82.27,1290,1113,115.9
2013,65,Сахалинская область,2163,4140,52.25,1256,1066,117.82
2014,65,Сахалинская область,2254,2516,89.59,1332,1142,116.64
2015,65,Сахалинская область,2654,2640,100.53,1353,1096,123.45
2016,65,Сахалинская область,2557,2548,100.35,1117,1198,93.24
2017,65,Сахалинская область,2557,2224,114.97,1021,2040,50.05
2018,65,Сахалинская область,2892,2786,103.8,825,1717,48.05
2019,65,Сахалинская область,3030,2625,115.43,788,1405,56.09
2012,66,Свердловская область,17089,18891,90.46,18682,41242,45.3
2013,66,Свердловская область,13076,27636,47.32,17958,36732,48.89
2014,66,Свердловская область,16328,18953,86.15,17653,22181,79.59
2015,66,Свердловская область,19207,16541,116.12,16779,10732,156.35
2016,66,Свердловская область,19734,16158,122.13,15149,24459,61.94
2017,66,Свердловская область,22498,17140,131.26,12189,24383,49.99
2018,66,Свердловская область,26612,24431,108.93,9205,21237,43.34
2019,66,Свердловская область,25503,21466,118.81,8718,20971,41.57
2012,67,Смоленская область,3731,4701,79.37,2137,2205,96.92
2013,67,Смоленская область,2612,6336,41.22,2071,1047,197.8
2014,67,Смоленская область,2922,3147,92.85,2236,1839,121.59
2015,67,Смоленская область,3294,3174,103.78,2355,1748,134.73
2016,67,Смоленская область,4117,3327,123.75,2635,2532,104.07
2017,67,Смоленская область,4707,3705,127.04,2412,2011,119.94
2018,67,Смоленская область,4731,4207,112.46,2177,2631,82.74
2019,67,Смоленская область,4547,4516,100.69,2246,3049,73.66
2012,68,Тамбовская область,3528,6235,56.58,1364,1722,79.21
2013,68,Тамбовская область,2972,6037,49.23,1453,1154,125.91
2014,68,Тамбовская область,3816,3436,111.06,1497,1593,93.97
2015,68,Тамбовская область,3409,3452,98.75,1537,1235,124.45
2016,68,Тамбовская область,3708,3397,109.16,1737,1777,97.75
2017,68,Тамбовская область,4124,3340,123.47,1654,2134,77.51
2018,68,Тамбовская область,4620,4010,115.21,1206,1920,62.81
2019,68,Тамбовская область,4498,4239,106.11,1047,2157,48.54
2012,69,Тверская область,4575,5317,86.04,2907,5744,50.61
2013,69,Тверская область,3791,7985,47.48,2890,2877,100.45
2014,69,Тверская область,4535,4364,103.92,2961,3116,95.03
2015,69,Тверская область,4850,4352,111.44,2866,3142,91.22
2016,69,Тверская область,5490,4939,111.16,2537,3370,75.28
2017,69,Тверская область,5977,5253,113.78,2215,3396,65.22
2018,69,Тверская область,6323,5319,118.88,1717,3465,49.55
2019,69,Тверская область,6283,5610,112.0,1834,3498,52.43
2012,70,Томская область,4368,6336,68.94,2853,2750,103.75
2013,70,Томская область,3693,8484,43.53,2990,2606,114.74
2014,70,Томская область,4395,4642,94.68,2785,2727,102.13
2015,70,Томская область,4471,4527,98.76,2913,2791,104.37
2016,70,Томская область,4496,4543,98.97,2784,5779,48.17
2017,70,Томская область,4828,4635,104.16,2496,5868,42.54
2018,70,Томская область,5239,4778,109.65,2010,3788,53.06
2019,70,Томская область,5146,4973,103.48,1763,3581,49.23
2012,71,Тульская область,5551,6751,82.22,2974,4160,71.49
2013,71,Тульская область,4222,9616,43.91,2940,4396,66.88
2014,71,Тульская область,5758,4912,117.22,3127,6443,48.53
2015,71,Тульская область,6768,5721,118.3,3504,2337,149.94
2016,71,Тульская область,7254,6677,108.64,3359,2554,131.52
2017,71,Тульская область,8030,6674,120.32,2924,4820,60.66
2018,71,Тульская область,8928,7562,118.06,2732,4912,55.62
2019,71,Тульская область,8894,7740,114.91,1786,3979,44.89
2012,72,Тюменская область,5785,6133,94.33,4822,7510,64.21
2013,72,Тюменская область,4829,9617,50.21,5211,5309,98.15
2014,72,Тюменская область,6115,5322,114.9,5166,5222,98.93
2015,72,Тюменская область,6712,6307,106.42,4778,2303,207.47
2016,72,Тюменская область,7247,6410,113.06,4461,8176,54.56
2017,72,Тюменская область,8403,7552,111.27,3723,3810,97.72
2018,72,Тюменская область,9049,7548,119.89,3058,4420,69.19
2019,72,Тюменская область,9130,7659,119.21,3064,7144,42.89
2012,73,Ульяновская область,4691,7171,65.42,2563,1820,140.82
2013,73,Ульяновская область,3267,8169,39.99,2690,1886,142.63
2014,73,Ульяновская область,4941,4391,112.53,2788,2680,104.03
2015,73,Ульяновская область,4526,4750,95.28,2716,1614,168.28
2016,73,Ульяновская область,4740,4834,98.06,2763,2519,109.69
2017,73,Ульяновская область,5567,5228,106.48,2262,4414,51.25
2018,73,Ульяновская область,6581,5943,110.74,2181,2889,75.49
2019,73,Ульяновская область,6303,5680,110.97,1901,3389,56.09
2012,74,Челябинская область,13201,18339,71.98,10196,10742,94.92
2013,74,Челябинская область,9681,26934,35.94,10843,7381,146.9
2014,74,Челябинская область,13316,13227,100.67,10599,11467,92.43
2015,74,Челябинская область,15150,13882,109.13,10125,4677,216.48
2016,74,Челябинская область,17403,15193,114.55,9186,21149,43.43
2017,74,Челябинская область,20096,17227,116.65,8705,17182,50.66
2018,74,Челябинская область,24439,19855,123.09,5163,14724,35.07
2019,74,Челябинская область,20408,19716,103.51,5270,14712,35.82
2012,75,Забайкальский край,4017,5134,78.24,1306,930,140.43
2013,75,Забайкальский край,3302,7489,44.09,1220,693,176.05
2014,75,Забайкальский край,3861,4298,89.83,1201,1324,90.71
2015,75,Забайкальский край,3647,4287,85.07,1042,989,105.36
2016,75,Забайкальский край,3383,4199,80.57,928,1563,59.37
2017,75,Забайкальский край,3380,4090,82.64,829,1757,47.18
2018,75,Забайкальский край,3682,4192,87.83,657,1182,55.58
2019,75,Забайкальский край,3860,3857,100.08,761,1680,45.3
2012,76,Ярославская область,4524,6281,72.03,4179,4835,86.43
2013,76,Ярославская область,3113,8516,36.55,4466,5504,81.14
2014,76,Ярославская область,4462,4137,107.86,4594,6536,70.29
2015,76,Ярославская область,5671,4401,128.86,4767,3518,135.5
2016,76,Ярославская область,7248,6038,120.04,5229,5424,96.4
2017,76,Ярославская область,7339,6587,111.42,4094,5815,70.4
2018,76,Ярославская область,7577,6925,109.42,3455,8141,42.44
2019,76,Ярославская область,6828,7115,95.97,2836,7329,38.7
2012,77,Г.Москва,33249,21440,155.08,101151,63541,159.19
2013,77,Г.Москва,28860,33572,85.96,104126,118493,87.88
2014,77,Г.Москва,34159,24662,138.51,108011,192263,56.18
2015,77,Г.Москва,43706,29131,150.03,123552,101679,121.51
2016,77,Г.Москва,50413,29462,171.11,121017,320650,37.74
2017,77,Г.Москва,60654,33136,183.05,125647,156987,80.04
2018,77,Г.Москва,70328,37442,187.83,93810,216908,43.25
2019,77,Г.Москва,73023,44109,165.55,74886,194571,38.49
2012,78,Г.Санкт-Петербург,19451,13481,144.28,43254,94611,45.72
2013,78,Г.Санкт-Петербург,15229,22900,66.5,41709,51501,80.99
2014,78,Г.Санкт-Петербург,19004,15386,123.51,41571,43140,96.36
2015,78,Г.Санкт-Петербург,24449,15241,160.42,45702,28599,159.8
2016,78,Г.Санкт-Петербург,30046,17595,170.76,45198,66002,68.48
2017,78,Г.Санкт-Петербург,35496,20771,170.89,40355,55497,72.72
2018,78,Г.Санкт-Петербург,40543,21961,184.61,35189,67120,52.43
2019,78,Г.Санкт-Петербург,40668,24871,163.52,25367,59813,42.41
2012,79,Еврейская автономная область,500,630,79.37,300,331,90.63
2013,79,Еврейская автономная область,507,983,51.58,272,543,50.09
2014,79,Еврейская автономная область,544,601,90.52,266,231,115.15
2015,79,Еврейская автономная область,480,554,86.64,248,208,119.23
2016,79,Еврейская автономная область,522,623,83.79,217,266,81.58
2017,79,Еврейская автономная область,519,535,97.01,126,226,55.75
2018,79,Еврейская автономная область,597,601,99.33,123,379,32.45
2019,79,Еврейская автономная область,567,631,89.86,118,523,22.56
2012,83,Ненецкий АО,204,166,122.89,71,168,42.26
2013,83,Ненецкий АО,157,217,72.35,66,55,120.0
2014,83,Ненецкий АО,192,161,119.25,66,111,59.46
2012,86,Ханты-Мансийский автономный округ - Югра,9270,7952,116.57,3491,8290,42.11
2013,86,Ханты-Мансийский автономный округ - Югра,7125,12231,58.25,3273,2809,116.52
2014,86,Ханты-Мансийский автономный округ - Югра,8125,7911,102.71,3150,2150,146.51
2015,86,Ханты-Мансийский автономный округ - Югра,8102,8726,92.85,2985,2163,138.0
2016,86,Ханты-Мансийский автономный округ - Югра,8396,8194,102.47,2661,5163,51.54
2017,86,Ханты-Мансийский автономный округ - Югра,9108,7939,114.72,2298,8216,27.97
2018,86,Ханты-Мансийский автономный округ - Югра,9212,9105,101.18,2081,2830,73.53
2019,86,Ханты-Мансийский автономный округ - Югра,9434,8951,105.4,1682,3124,53.84
2012,87,Чукотский автономный округ,172,172,100.0,81,189,42.86
2013,87,Чукотский автономный округ,124,241,51.45,50,191,26.18
2014,87,Чукотский автономный округ,138,172,80.23,56,93,60.22
2015,87,Чукотский автономный округ,172,170,101.18,40,78,51.28
2016,87,Чукотский автономный округ,125,158,79.11,53,106,50.0
2017,87,Чукотский автономный округ,143,136,105.15,86,76,113.16
2018,87,Чукотский автономный округ,167,166,100.6,72,48,150.0
2019,87,Чукотский автономный округ,180,175,102.86,77,77,100.0
2012,89,Ямало-Ненецкий автономный округ,3566,2699,132.12,1096,1792,61.16
2013,89,Ямало-Ненецкий автономный округ,2600,4134,62.89,1062,752,141.22
2014,89,Ямало-Ненецкий автономный округ,2502,2659,94.1,865,1002,86.33
2015,89,Ямало-Ненецкий автономный округ,2565,2859,89.72,906,514,176.26
2016,89,Ямало-Ненецкий автономный округ,2726,2880,94.65,799,860,92.91
2017,89,Ямало-Ненецкий автономный округ,2594,2823,91.89,609,1463,41.63
2018,89,Ямало-Ненецкий автономный округ,2953,2910,101.48,518,1398,37.05
2019,89,Ямало-Ненецкий автономный округ,2923,2894,101.0,513,1222,41.98
2014,91,Республика Крым,21392,463,4620.3,8045,6,134083.33
2015,91,Республика Крым,41094,8797,467.14,7818,351,2227.35
2016,91,Республика Крым,16858,11340,148.66,4021,1116,360.3
2017,91,Республика Крым,14886,11546,128.93,3235,2043,158.35
2018,91,Республика Крым,15079,13327,113.15,2303,2241,102.77
2019,91,Республика Крым,14063,14222,98.88,2079,3017,68.91
2014,92,Г.Севастополь,7162,185,3871.35,3300,4,82500.0
2015,92,Г.Севастополь,9025,1559,578.9,2220,89,2494.38
2016,92,Г.Севастополь,3554,2217,160.31,1287,264,487.5
2017,92,Г.Севастополь,3036,2262,134.22,1069,395,270.63
2018,92,Г.Севастополь,2954,2643,111.77,855,902,94.79
2019,92,Г.Севастополь,2807,2813,99.79,748,1091,68.56
2012,99,г.Байконур,160,119,134.45,21,16,131.25
2013,99,г.Байконур,119,181,65.75,16,7,228.57
2014,99,г.Байконур,139,112,124.11,17,10,170.0
2015,99,г.Байконур,136,151,90.07,16,15,106.67
2016,99,г.Байконур,152,157,96.82,19,27,70.37
2017,99,г.Байконур,159,133,119.55,20,29,68.97
2018,99,г.Байконур,158,175,90.29,21,39,53.85
